seed,rho,delay,num_agents,updates,teacher_mse,maximum_loss,finite
20270701,0.0,0,1,984,0.2647260427474975,8.346142768859863,True
20270701,0.0,0,4,941,0.1163502931594848,2.390230655670166,True
20270701,0.0,0,16,800,0.0182435270398855,1.3644977807998655,True
20270701,0.0,0,32,666,0.0199372302740812,0.9559906721115112,True
20270701,0.0,8,1,984,0.2263881117105484,8.145729064941406,True
20270701,0.0,8,4,941,0.1184787228703498,2.3749425411224365,True
20270701,0.0,8,16,800,0.0171513780951499,1.368050456047058,True
20270701,0.0,8,32,666,0.0196389053016901,0.9552431106567384,True
20270701,0.25,0,1,984,0.063434861600399,6.064214706420898,True
20270701,0.25,0,4,941,0.1959308385848999,4.7723588943481445,True
20270701,0.25,0,16,800,0.1872888803482055,3.258924961090088,True
20270701,0.25,0,32,666,0.0415061190724372,3.821792125701904,True
20270701,0.25,8,1,984,0.1198948696255683,6.333001136779785,True
20270701,0.25,8,4,941,0.1636422276496887,4.741816997528076,True
20270701,0.25,8,16,800,0.1632235646247863,3.261049747467041,True
20270701,0.25,8,32,666,0.1347162723541259,3.836581230163574,True
20270701,0.5,0,1,984,0.1393192857503891,5.727417945861816,True
20270701,0.5,0,4,941,0.2406858652830124,6.19929838180542,True
20270701,0.5,0,16,800,0.4420798420906067,4.140826225280762,True
20270701,0.5,0,32,666,0.0593305528163909,4.708560943603516,True
20270701,0.5,8,1,984,0.1131812706589698,6.1332831382751465,True
20270701,0.5,8,4,941,0.1869668364524841,6.174520015716553,True
20270701,0.5,8,16,800,0.4123254120349884,4.129013538360596,True
20270701,0.5,8,32,666,0.2408123314380645,4.727927207946777,True
20270701,0.9,0,1,984,0.2036631405353546,5.657132625579834,True
20270701,0.9,0,4,941,0.4324250221252441,5.807368278503418,True
20270701,0.9,0,16,800,0.6040186882019043,5.135009765625,True
20270701,0.9,0,32,666,0.0906361117959022,5.620783805847168,True
20270701,0.9,8,1,984,0.1524072140455246,5.514585971832275,True
20270701,0.9,8,4,941,0.350685179233551,5.759191036224365,True
20270701,0.9,8,16,800,0.4963245093822479,5.100544452667236,True
20270701,0.9,8,32,666,0.3553306460380554,5.563218593597412,True
