cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,seed,strong_static_auc,continuous_auc,continuous_terminal,learning_transitions,extra_probe_transitions,fingerprint_reused_transitions,message_units,qp_iterations,mean_iterations_per_recipient_decision,mean_debt,max_debt,rollback_rate,accepted_nonlocal_rate
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,1808804502,0.01029473193303545,0.011024648242089893,0.001996854010488721,240,0,30,12,719,29.958333333333332,0.02192041036240254,0.057991302164755544,1.0,0.0
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2863024076,0.008884825816470458,0.009528996556492182,0.001422872937339015,240,0,30,12,722,30.083333333333332,0.016196891642354796,0.05050239478524587,0.9166666666666666,0.08333333333333333
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2950424385,0.011354280410095124,0.011848130167302311,0.0011562940372460203,240,0,30,12,749,31.208333333333332,0.022485864329712422,0.06770926697876888,0.875,0.125
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,3476054506,0.009222077759604248,0.00947623568365759,0.005245647643666316,240,0,30,12,817,34.041666666666664,0.010245590012410162,0.0468745234643968,0.9166666666666666,0.08333333333333333
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,859049474,0.009149770127312194,0.008616536991264662,0.002078293348811467,240,0,30,12,879,36.625,0.007905109748624984,0.0920079363118185,0.9166666666666666,0.08333333333333333
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2088432960,0.007567677276065779,0.006887626382525599,0.000925834408394515,240,0,30,12,703,29.291666666666668,0.015258490252884746,0.04119241569088052,0.8333333333333334,0.16666666666666666
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,4057090488,0.010347741204839084,0.010261964265898735,0.00024472931332051836,240,0,30,12,878,36.583333333333336,0.007250815363122662,0.03282145270408385,0.9166666666666666,0.08333333333333333
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,4197492090,0.011870820905272769,0.01229513200871962,0.0020372064775507027,240,0,30,12,714,29.75,0.023332237302852984,0.07589213694652981,0.9583333333333334,0.041666666666666664
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,3445129534,0.011472311081053456,0.011468672319020384,0.0012124662976293493,240,0,30,12,813,33.875,0.008272888088030244,0.05516362529699402,1.0,0.0
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,1554091691,0.010065822289857371,0.009844963105239765,0.0017576381188661567,240,0,30,12,720,30.0,0.007790110172116065,0.04756441518190879,0.9166666666666666,0.08333333333333333
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,1360135080,0.010827581653654349,0.010636145520503204,0.0008372846864358448,240,0,30,12,760,31.666666666666668,0.020682861302884496,0.07064493633631988,0.875,0.125
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2498757706,0.01128400684446016,0.011948098419598109,0.0004031748139255873,240,0,30,12,705,29.375,0.006699015270250459,0.019960361652740267,1.0,0.0
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,1598408979,0.010622876377234323,0.01112346336399471,0.0016207912216979776,240,0,30,12,741,30.875,0.008245015974682498,0.038122089044433045,0.9166666666666666,0.08333333333333333
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2984591295,0.008952768171037018,0.008900909271935582,0.0034554886645530255,240,0,30,12,662,27.583333333333332,0.02348148196535167,0.05440949899569949,0.9166666666666666,0.08333333333333333
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,3736052005,0.011256704269411074,0.010828762460489388,0.0026807883554432373,240,0,30,12,660,27.5,0.01905281973924078,0.09796067751704322,0.875,0.125
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2446090982,0.009709975494087624,0.00970807665462885,0.0015052025736412371,240,0,30,12,791,32.958333333333336,0.0121308440859033,0.06853063387909306,0.8333333333333334,0.16666666666666666
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,2759634938,0.008745121788152154,0.008840852573923398,0.0013248914966313705,240,0,30,12,732,30.5,0.025257323794984757,0.12384020306174999,0.75,0.25
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,1796341307,0.010407170936858402,0.009772854141217773,0.0009818903053574793,240,0,30,12,907,37.791666666666664,0.0068083206488604615,0.027146842867989872,0.7916666666666666,0.20833333333333334
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,702779833,0.00888726253529429,0.008889749228012523,0.001275100574589767,240,0,30,12,710,29.583333333333332,0.015904855588396136,0.051165819802717255,0.9166666666666666,0.08333333333333333
Fstationary-H0.1-I0.5-N0.1-S0-T0-D0,stationary,0.1,0.5,0.1,0.0,0.0,0,3081155260,0.010627982801747848,0.010030810650708438,0.004277259551442325,240,0,30,12,716,29.833333333333332,0.015552717587963914,0.031558820718629546,0.875,0.125
