seed,seed_index,rho,num_agents,max_delay,policy,grid_index,eta,crossed_threshold,crossing_time,half_error_time,final_error,finite,error_250,error_500,error_1000,error_2000,error_4000
20261230,0,0.0,16,8,joint_aware,,0.4363488632302189,False,-1,3,0.048514937093329706,True,0.4924724020120548,0.10606628662136178,0.03791015379869703,0.04438207066864369,0.048514937093329706
20261230,0,0.0,16,8,correlation_blind,,0.4363488632302189,False,-1,3,0.048514937093329706,True,0.4924724020120548,0.10606628662136178,0.03791015379869703,0.04438207066864369,0.048514937093329706
20261230,0,0.0,16,8,delay_blind,,0.4373927810905379,False,-1,3,0.04857946536273182,True,0.49434859184207663,0.10643360745051739,0.03813324613397491,0.04456435414470465,0.04857946536273182
20261230,0,0.0,16,8,mean_only,,4.115057114511728,True,110,-1,1000000000000.0,True,1000000000000.0,1000000000000.0,1000000000000.0,1000000000000.0,1000000000000.0
20261230,0,0.0,16,8,worstcase_correlation,,0.062108907189348216,False,-1,22,0.013001325037068594,True,0.04518948259890273,0.027676392431903406,0.007114111705865387,0.00288775838759884,0.013001325037068594
20261230,0,0.0,16,8,grid,0.0,0.005,False,-1,261,0.004563377666304817,True,0.5118140679211488,0.314547131139513,0.1286650936619834,0.022094709700294302,0.004563377666304817
20261230,0,0.0,16,8,grid,1.0,0.007632145998180043,False,-1,167,0.0016716182839164187,True,0.3735542017452526,0.19469725440847174,0.058348562964242054,0.004078591415474841,0.0016716182839164187
20261230,0,0.0,16,8,grid,2.0,0.01164993050750713,False,-1,109,0.0023852804247707286,True,0.24182773514495165,0.10490986713728725,0.020330021235223546,0.0019369623911794421,0.0023852804247707286
20261230,0,0.0,16,8,grid,3.0,0.01778279410038923,False,-1,66,0.004432606350837221,True,0.13790280568697208,0.04922544209776178,0.006253849817449609,0.004517473798210987,0.004432606350837221
20261230,0,0.0,16,8,grid,4.0,0.027144176165949066,False,-1,43,0.007370060548445622,True,0.07439682892457913,0.02270237228060483,0.005128073335898353,0.0054294811384217176,0.007370060548445622
20261230,0,0.0,16,8,grid,5.0,0.04143366309976846,False,-1,29,0.010790863558585264,True,0.04814851763576297,0.018641426923960876,0.006520890185067626,0.004308025259353979,0.010790863558585264
20261230,0,0.0,16,8,grid,6.0,0.0632455532033676,False,-1,22,0.013051552031967268,True,0.0453928276128735,0.028201508799155638,0.00715914876713249,0.0028476534788526384,0.013051552031967268
20261230,0,0.0,16,8,grid,7.0,0.096539859156753,False,-1,16,0.013724304501948443,True,0.05792748435117054,0.03983402252390735,0.010596372200613727,0.0032240978709306566,0.013724304501948443
20261230,0,0.0,16,8,grid,8.0,0.1473612599456155,False,-1,10,0.016890220193966396,True,0.0917734298933785,0.049398787517101736,0.021231359276140477,0.007076538908203516,0.016890220193966396
20261230,0,0.0,16,8,grid,9.0,0.2249365300761397,False,-1,5,0.02716991436172716,True,0.16703887507994483,0.061416532030133246,0.031585731513486315,0.016434391525174744,0.02716991436172716
20261230,0,0.0,16,8,grid,10.0,0.3433496875730229,False,-1,3,0.042006551719939646,True,0.33240871152430035,0.08085478795357078,0.029798006757143104,0.03130264500116389,0.042006551719939646
20261230,0,0.0,16,8,grid,11.0,0.524098988797363,False,-1,3,0.05551022721790434,True,0.6519828446761472,0.1445832694654755,0.07078557810738986,0.06454714444871514,0.05551022721790434
20261230,0,0.0,16,8,grid,12.0,0.8,False,-1,3,0.14300492638689657,True,1.1048284917970457,0.36574565538333403,0.3858086955573317,0.21848611670153462,0.14300492638689657
20261230,0,0.0,16,32,joint_aware,,0.3543562147008278,False,-1,3,0.18284779592275693,True,0.28267085659717095,0.09482674150328779,0.1341450224226545,0.10717539828961493,0.18284779592275693
20261230,0,0.0,16,32,correlation_blind,,0.3543562147008278,False,-1,3,0.18284779592275693,True,0.28267085659717095,0.09482674150328779,0.1341450224226545,0.10717539828961493,0.18284779592275693
20261230,0,0.0,16,32,delay_blind,,0.4373927810905379,False,-1,3,0.26720994593829867,True,0.4241021942626898,0.11600252347381175,0.14514474827599946,0.1160276001611174,0.26720994593829867
20261230,0,0.0,16,32,mean_only,,1.2931845703348515,True,2703,17,1000000000000.0,True,90.37037210637732,19.08788965961043,786.5403933047942,12033609195.868614,1000000000000.0
20261230,0,0.0,16,32,worstcase_correlation,,0.06012858486571272,False,-1,22,0.012891243013366431,True,0.04426324716381951,0.02948572007657313,0.00814663048799235,0.0031693202635057825,0.012891243013366431
20261230,0,0.0,16,32,grid,0.0,0.005,False,-1,259,0.00453273386329497,True,0.5097181207096615,0.3127911684020813,0.1278197101651219,0.02191247996407386,0.00453273386329497
20261230,0,0.0,16,32,grid,1.0,0.007632145998180043,False,-1,166,0.0016780333851146223,True,0.3704279704106156,0.19279831594108787,0.05778002176249583,0.004052676764715916,0.0016780333851146223
20261230,0,0.0,16,32,grid,2.0,0.01164993050750713,False,-1,108,0.002421851668051506,True,0.23796666608759576,0.1032973114291445,0.02010775590212232,0.0020312830059926695,0.002421851668051506
20261230,0,0.0,16,32,grid,3.0,0.01778279410038923,False,-1,65,0.004509703410722062,True,0.13415664275827768,0.04819562751190821,0.006352808177041059,0.004686453453808203,0.004509703410722062
20261230,0,0.0,16,32,grid,4.0,0.027144176165949066,False,-1,43,0.0075321420961676835,True,0.07175955419584938,0.022448434797857422,0.0054194923966808944,0.005621860007395482,0.0075321420961676835
20261230,0,0.0,16,32,grid,5.0,0.04143366309976846,False,-1,27,0.0110287980902766,True,0.046978338976697245,0.019724606736245397,0.006945373411636688,0.00446541579963565,0.0110287980902766
20261230,0,0.0,16,32,grid,6.0,0.0632455532033676,False,-1,21,0.012985463507616084,True,0.04473880338399187,0.03116392120718059,0.008457995754095407,0.0030823573860054875,0.012985463507616084
20261230,0,0.0,16,32,grid,7.0,0.096539859156753,False,-1,13,0.01368238035147936,True,0.055628777271660254,0.044557307431498945,0.01593436472146503,0.0044309796446153175,0.01368238035147936
20261230,0,0.0,16,32,grid,8.0,0.1473612599456155,False,-1,9,0.020726939437001123,True,0.08114368851455867,0.057428002206333484,0.040381006748864565,0.013620176700841074,0.020726939437001123
20261230,0,0.0,16,32,grid,9.0,0.2249365300761397,False,-1,4,0.05465444861631859,True,0.13249825831300693,0.07568911122454021,0.08424217722488073,0.04581666442768595,0.05465444861631859
20261230,0,0.0,16,32,grid,10.0,0.3433496875730229,False,-1,3,0.1697819045997063,True,0.26605114640689165,0.09333395297934093,0.13163085799207103,0.10388620484902669,0.1697819045997063
20261230,0,0.0,16,32,grid,11.0,0.524098988797363,False,-1,3,0.2991246238656944,True,0.5756745039890379,0.1746259311769615,0.16548312030006135,0.10360184252662012,0.2991246238656944
20261230,0,0.0,16,32,grid,12.0,0.8,False,-1,3,1.2453635187116414,True,1.3361164110259334,0.8984943235533744,0.4811095420078738,0.08701565127618086,1.2453635187116414
20261230,0,0.0,32,8,joint_aware,,0.48450346515727244,False,-1,4,0.015556538503985707,True,0.44872437479682364,0.16192297186242222,0.012985784860088652,0.22749282632574233,0.015556538503985707
20261230,0,0.0,32,8,correlation_blind,,0.48450346515727244,False,-1,4,0.015556538503985707,True,0.44872437479682364,0.16192297186242222,0.012985784860088652,0.22749282632574233,0.015556538503985707
20261230,0,0.0,32,8,delay_blind,,0.5476125865680102,False,-1,4,0.015834084107202582,True,0.5395297694312554,0.17697680076179154,0.010016481463142535,0.23267487624975974,0.015834084107202582
20261230,0,0.0,32,8,mean_only,,2.1034893587976695,True,1507,3,1000000000000.0,True,1376.1460259645035,7495622.824202573,5657961.4492077045,1000000000000.0,1000000000000.0
20261230,0,0.0,32,8,worstcase_correlation,,0.061225211651951904,False,-1,21,0.013229876190098189,True,0.059254837494825685,0.026412392199723585,0.0027429605067817555,0.030262437362494374,0.013229876190098189
20261230,0,0.0,32,8,grid,0.0,0.005,False,-1,283,0.00599447604753308,True,0.5356681660178712,0.33041562564292404,0.140288540577171,0.026424366179016927,0.00599447604753308
20261230,0,0.0,32,8,grid,1.0,0.007632145998180043,False,-1,184,0.0019668323981745493,True,0.40206663133330406,0.21284345280041847,0.06817620089577853,0.0037754180279486664,0.0019668323981745493
20261230,0,0.0,32,8,grid,2.0,0.01164993050750713,False,-1,121,0.0015621947030778573,True,0.2728644088178724,0.12357966316748102,0.025944749104788264,0.0008261317411046025,0.0015621947030778573
20261230,0,0.0,32,8,grid,3.0,0.01778279410038923,False,-1,71,0.002508691770338613,True,0.1681125650654353,0.06589834602985563,0.006808099514102461,0.006557757834631092,0.002508691770338613
20261230,0,0.0,32,8,grid,4.0,0.027144176165949066,False,-1,48,0.0046968572175855455,True,0.10047574967825382,0.03453763772436566,0.0021549910112962623,0.01324171688978858,0.0046968572175855455
20261230,0,0.0,32,8,grid,5.0,0.04143366309976846,False,-1,28,0.00851650362709013,True,0.06819700910927065,0.023284269515183267,0.0023482138330994276,0.020521739622672095,0.00851650362709013
20261230,0,0.0,32,8,grid,6.0,0.0632455532033676,False,-1,20,0.013645599257502944,True,0.05912913233693278,0.027113340368399217,0.0027897688691232462,0.031291064293557574,0.013645599257502944
20261230,0,0.0,32,8,grid,7.0,0.096539859156753,False,-1,14,0.019208413142616197,True,0.06535008057556527,0.04059663944393643,0.004411067229062055,0.04968180659787455,0.019208413142616197
20261230,0,0.0,32,8,grid,8.0,0.1473612599456155,False,-1,10,0.025362577471541428,True,0.08992026302692421,0.06025601510511475,0.009469218479972435,0.08343175159365969,0.025362577471541428
20261230,0,0.0,32,8,grid,9.0,0.2249365300761397,False,-1,7,0.02969607616168433,True,0.14756761101340413,0.08637247915286317,0.01700137094938548,0.13844154591783261,0.02969607616168433
20261230,0,0.0,32,8,grid,10.0,0.3433496875730229,False,-1,5,0.024376354362860977,True,0.2723445788231241,0.12316020430855659,0.02009957429275391,0.1987285460396565,0.024376354362860977
20261230,0,0.0,32,8,grid,11.0,0.524098988797363,False,-1,4,0.015200820456331754,True,0.5043809145900189,0.17145324762186576,0.010824428624207263,0.23091879355619405,0.015200820456331754
20261230,0,0.0,32,8,grid,12.0,0.8,False,-1,3,0.06660341488287358,True,1.0490412243772975,0.25392270930335625,0.026918703759969038,0.2911572784390039,0.06660341488287358
20261230,0,0.0,32,32,joint_aware,,0.2890855861645199,False,-1,5,0.2089589177493319,True,0.18254356271982958,0.18480712782677347,0.05471446619454894,0.3834314847652726,0.2089589177493319
20261230,0,0.0,32,32,correlation_blind,,0.2890855861645199,False,-1,5,0.2089589177493319,True,0.18254356271982958,0.18480712782677347,0.05471446619454894,0.3834314847652726,0.2089589177493319
20261230,0,0.0,32,32,delay_blind,,0.5476125865680102,False,-1,3,10849.21372556708,True,2.194289577236925,2.8919790690583693,1.915290083512349,89.8329585593221,10849.21372556708
20261230,0,0.0,32,32,mean_only,,0.5345835420861842,False,-1,3,3139.508457038428,True,2.3818790417320472,1.4824772529224872,8.235839286987614,177.00938567420673,3139.508457038428
20261230,0,0.0,32,32,worstcase_correlation,,0.056406811991134544,False,-1,21,0.01486048152766321,True,0.059191535009941496,0.03012309490058085,0.003524600704129541,0.029818987337600595,0.01486048152766321
20261230,0,0.0,32,32,grid,0.0,0.005,False,-1,277,0.005915286369739608,True,0.5312428039203159,0.32646902713299253,0.13837298064442402,0.02584660257642819,0.005915286369739608
20261230,0,0.0,32,32,grid,1.0,0.007632145998180043,False,-1,177,0.001961813614952901,True,0.395552730361379,0.2085796799275834,0.06674223224149127,0.0035278207889362216,0.001961813614952901
20261230,0,0.0,32,32,grid,2.0,0.01164993050750713,False,-1,114,0.0016197418049009372,True,0.2650071172902202,0.11979846062332379,0.025037182307636185,0.0009156340605971339,0.0016197418049009372
20261230,0,0.0,32,32,grid,3.0,0.01778279410038923,False,-1,69,0.0026935434116518637,True,0.16074044920940259,0.06301903048498138,0.006442653183904513,0.0068723844163117815,0.0026935434116518637
20261230,0,0.0,32,32,grid,4.0,0.027144176165949066,False,-1,43,0.005229787493752142,True,0.09551192445559457,0.032848040524617705,0.0022750197505126677,0.013736550164639904,0.005229787493752142
20261230,0,0.0,32,32,grid,5.0,0.04143366309976846,False,-1,27,0.009943958945561222,True,0.06620119635495829,0.02434171796777209,0.0027489375096675646,0.021557276469678484,0.009943958945561222
20261230,0,0.0,32,32,grid,6.0,0.0632455532033676,False,-1,19,0.016950879714875376,True,0.05867223100611463,0.03447954454898505,0.003978186828824166,0.03382866668656848,0.016950879714875376
20261230,0,0.0,32,32,grid,7.0,0.096539859156753,False,-1,13,0.026190672075570996,True,0.06717581261337419,0.059831588466563314,0.007390354585439443,0.05682309781064999,0.026190672075570996
20261230,0,0.0,32,32,grid,8.0,0.1473612599456155,False,-1,10,0.04556346985492654,True,0.08581151832286614,0.09968668538667319,0.017382413146822213,0.11230276275432409,0.04556346985492654
20261230,0,0.0,32,32,grid,9.0,0.2249365300761397,False,-1,7,0.11568759855344286,True,0.10528664631186639,0.15380198925842345,0.04053894854390483,0.2477162197196222,0.11568759855344286
20261230,0,0.0,32,32,grid,10.0,0.3433496875730229,False,-1,4,0.25326488701546435,True,0.40135076645682466,0.17693145710839506,0.06347471965822758,0.6034063388622541,0.25326488701546435
20261230,0,0.0,32,32,grid,11.0,0.524098988797363,False,-1,3,82.79875464164672,True,2.5291588976548858,0.6730549373041375,9.698070803107923,453.7242787387545,82.79875464164672
20261230,0,0.0,32,32,grid,12.0,0.8,True,1947,3,1000000000000.0,True,23.09720013912667,1270.5080178521941,524676.154542757,1000000000000.0,1000000000000.0
20261230,0,0.9,16,8,joint_aware,,0.06793567174124356,False,-1,73,0.13044905609633262,True,0.8730011801493945,0.2085084022807251,0.2657241205482071,0.23820957616754884,0.13044905609633262
20261230,0,0.9,16,8,correlation_blind,,0.4363488632302189,False,-1,166,3.950989932096876,True,19.83095323262788,1.9346189060000416,10.260591800887804,1.4980170106189015,3.950989932096876
20261230,0,0.9,16,8,delay_blind,,0.0679609250345928,False,-1,73,0.13038901300769246,True,0.8733563973876621,0.20847260944955268,0.2659227325520285,0.23834517949448739,0.13038901300769246
20261230,0,0.9,16,8,mean_only,,4.115057114511728,True,30,-1,1000000000000.0,True,1000000000000.0,1000000000000.0,1000000000000.0,1000000000000.0,1000000000000.0
20261230,0,0.9,16,8,worstcase_correlation,,0.062108907189348216,False,-1,73,0.14410144796050192,True,0.791520462884055,0.21731816321696878,0.22199972660662864,0.2092755440179508,0.14410144796050192
20261230,0,0.9,16,8,grid,0.0,0.005,False,-1,328,0.0431084451476088,True,0.5632303313146633,0.39624172255173173,0.19345977798167016,0.07143517056474773,0.0431084451476088
20261230,0,0.9,16,8,grid,1.0,0.007632145998180043,False,-1,218,0.056088170913858384,True,0.45849479778568397,0.32472507208795354,0.12704436288036525,0.055249269758443666,0.056088170913858384
20261230,0,0.9,16,8,grid,2.0,0.01164993050750713,False,-1,107,0.08306027125172409,True,0.3777162065681624,0.2949462674023627,0.08086274214974076,0.057341901974768655,0.08306027125172409
20261230,0,0.9,16,8,grid,3.0,0.01778279410038923,False,-1,97,0.12235579310524436,True,0.3470212406691704,0.2925279804886675,0.05493414565573918,0.07353993938523257,0.12235579310524436
20261230,0,0.9,16,8,grid,4.0,0.027144176165949066,False,-1,80,0.16238519688767158,True,0.38776758217753976,0.28561711580499116,0.05762348904028085,0.10152598928970138,0.16238519688767158
20261230,0,0.9,16,8,grid,5.0,0.04143366309976846,False,-1,77,0.17723780225049918,True,0.525034938844951,0.25709092521133553,0.10286367225666113,0.13873835694371706,0.17723780225049918
20261230,0,0.9,16,8,grid,6.0,0.0632455532033676,False,-1,73,0.1414865217981019,True,0.8073169681328003,0.21551202927067545,0.23019610009627192,0.21455501989379117,0.1414865217981019
20261230,0,0.9,16,8,grid,7.0,0.096539859156753,False,-1,72,0.070940169331263,True,1.2660264084932904,0.17805388451020177,0.5357047755145037,0.4443091583615421,0.070940169331263
20261230,0,0.9,16,8,grid,8.0,0.1473612599456155,False,-1,29,0.0522953321113782,True,1.8250592393724132,0.13996444412902384,1.1684455309840187,0.93087782364372,0.0522953321113782
20261230,0,0.9,16,8,grid,9.0,0.2249365300761397,False,-1,121,0.1461769696573731,True,2.7924556023264984,0.12181694092741789,1.9056118425012936,1.4561817323288802,0.1461769696573731
20261230,0,0.9,16,8,grid,10.0,0.3433496875730229,False,-1,121,0.5716775869897701,True,8.369216299633143,0.5345255034343935,2.0379250367264548,1.6723095242442114,0.5716775869897701
20261230,0,0.9,16,8,grid,11.0,0.524098988797363,False,-1,166,33.003550879127005,True,38.807101906793505,12.66634576584617,41.350166799000675,1.2131039428756711,33.003550879127005
20261230,0,0.9,16,8,grid,12.0,0.8,True,962,-1,1000000000000.0,True,253.17853615868185,68124729.9591803,1000000000000.0,1000000000000.0,1000000000000.0
20261230,0,0.9,16,32,joint_aware,,0.06557341714513457,False,-1,73,0.11667408455238802,True,0.8700855486813268,0.19718822937061783,0.34705670873173156,0.23579646492553713,0.11667408455238802
20261230,0,0.9,16,32,correlation_blind,,0.3543562147008278,False,-1,114,4.645208677293677,True,3.6571093282107707,1.6562229903432288,8.701086222987469,13.696951235535359,4.645208677293677
20261230,0,0.9,16,32,delay_blind,,0.0679609250345928,False,-1,73,0.11059917739889348,True,0.9078101232725307,0.19349550983752598,0.3763623910447861,0.2526893015451145,0.11059917739889348
20261230,0,0.9,16,32,mean_only,,1.2931845703348515,True,229,-1,1000000000000.0,True,1000000000000.0,1000000000000.0,1000000000000.0,1000000000000.0,1000000000000.0
20261230,0,0.9,16,32,worstcase_correlation,,0.06012858486571272,False,-1,73,0.13096429086066233,True,0.7858468932788666,0.20703298855867044,0.2855679374470471,0.2027004388032606,0.13096429086066233
20261230,0,0.9,16,32,grid,0.0,0.005,False,-1,328,0.04264069288436144,True,0.5607245200871959,0.3944386139183014,0.1925779088397891,0.07049221790334863,0.04264069288436144
20261230,0,0.9,16,32,grid,1.0,0.007632145998180043,False,-1,218,0.055741871346971984,True,0.4550199797188444,0.32359723359525516,0.12703565729400507,0.05424856618548336,0.055741871346971984
20261230,0,0.9,16,32,grid,2.0,0.01164993050750713,False,-1,107,0.0832412375617736,True,0.37399098555783866,0.29577849467156986,0.08219182506367415,0.05619344533604742,0.0832412375617736
20261230,0,0.9,16,32,grid,3.0,0.01778279410038923,False,-1,97,0.12316284582455185,True,0.3443809983678322,0.2953968587932537,0.058701532953800824,0.07230457891433545,0.12316284582455185
20261230,0,0.9,16,32,grid,4.0,0.027144176165949066,False,-1,77,0.1620861661575744,True,0.38720303386752436,0.2875341633474918,0.06738209598952002,0.09952864315397526,0.1620861661575744
20261230,0,0.9,16,32,grid,5.0,0.04143366309976846,False,-1,77,0.17026552951995433,True,0.5289163480455982,0.25256982101393055,0.13037620069965414,0.13398091138021573,0.17026552951995433
20261230,0,0.9,16,32,grid,6.0,0.0632455532033676,False,-1,73,0.12274465081697579,True,0.8337274144875516,0.20115849428950508,0.3198560503483081,0.22074743309730072,0.12274465081697579
20261230,0,0.9,16,32,grid,7.0,0.096539859156753,False,-1,71,0.07257610539882867,True,1.364471008492563,0.17462299555760274,0.8319613175728922,0.578295432460897,0.07257610539882867
20261230,0,0.9,16,32,grid,8.0,0.1473612599456155,False,-1,75,0.268622107890661,True,1.9938138298441137,0.1588153116147955,2.0308492490301844,1.6359428535797316,0.268622107890661
20261230,0,0.9,16,32,grid,9.0,0.2249365300761397,False,-1,125,1.2753447898201178,True,2.457491181204627,0.11284368655836795,4.2970403667734285,3.6585054689491545,1.2753447898201178
20261230,0,0.9,16,32,grid,10.0,0.3433496875730229,False,-1,115,4.213257353281494,True,3.4499874959602828,1.2684549946174082,8.409487930461843,11.884989860638225,4.213257353281494
20261230,0,0.9,16,32,grid,11.0,0.524098988797363,False,-1,3762,3035.8858935772487,True,2483.625308775661,11008.847070791362,27.6724574337146,109.83230762593585,3035.8858935772487
20261230,0,0.9,16,32,grid,12.0,0.8,True,427,-1,1000000000000.0,True,14550903.877279518,1000000000000.0,1000000000000.0,1000000000000.0,1000000000000.0
20261230,0,0.9,32,8,joint_aware,,0.06708632967038644,False,-1,76,0.11157813043615848,True,0.8648552978544025,0.16494897749179854,0.28213655916562747,0.23811615846963538,0.11157813043615848
20261230,0,0.9,32,8,correlation_blind,,0.48450346515727244,False,-1,307,2.158822382698011,True,4.122988551901472,18.804803208924096,123.22222382367092,1.6091148048018995,2.158822382698011
20261230,0,0.9,32,8,delay_blind,,0.0681741968826708,False,-1,76,0.10828868965570951,True,0.881080019872839,0.16344634624902904,0.29171242215333704,0.2447428307566608,0.10828868965570951
20261230,0,0.9,32,8,mean_only,,2.1034893587976695,True,118,-1,1000000000000.0,True,1000000000000.0,1000000000000.0,1000000000000.0,1000000000000.0,1000000000000.0
20261230,0,0.9,32,8,worstcase_correlation,,0.061225211651951904,False,-1,76,0.12932708930132597,True,0.7782486480975621,0.17400197644206294,0.23392172189115823,0.2064545372269608,0.12932708930132597
20261230,0,0.9,32,8,grid,0.0,0.005,False,-1,327,0.0431578979725517,True,0.5597682420169187,0.3894832585002892,0.19086835069519215,0.07216389687942922,0.0431578979725517
20261230,0,0.9,32,8,grid,1.0,0.007632145998180043,False,-1,218,0.056593703297023346,True,0.4535201496955602,0.31478620061796025,0.12409952568438878,0.0552389790693155,0.056593703297023346
20261230,0,0.9,32,8,grid,2.0,0.01164993050750713,False,-1,107,0.08482349503614264,True,0.37060280812230595,0.2798203891684526,0.07861385339511892,0.057461088849873374,0.08482349503614264
20261230,0,0.9,32,8,grid,3.0,0.01778279410038923,False,-1,97,0.12590630913137796,True,0.3368810473384253,0.2697240261199085,0.0556131991204125,0.07496419011097293,0.12590630913137796
20261230,0,0.9,32,8,grid,4.0,0.027144176165949066,False,-1,80,0.16619431422488457,True,0.37447325522836333,0.253631859128882,0.06278385724249776,0.10389420882507527,0.16619431422488457
20261230,0,0.9,32,8,grid,5.0,0.04143366309976846,False,-1,77,0.17498281702540078,True,0.512522098012379,0.21674982292986295,0.1123912235020206,0.13924817762544167,0.17498281702540078
20261230,0,0.9,32,8,grid,6.0,0.0632455532033676,False,-1,76,0.12323825310479038,True,0.8079049070118148,0.17069427514101934,0.2498974852321827,0.21661779354327917,0.12323825310479038
20261230,0,0.9,32,8,grid,7.0,0.096539859156753,False,-1,73,0.04288273560860343,True,1.2925390952363132,0.13771232913771098,0.6078753622323558,0.5059891187165951,0.04288273560860343
