rho,num_agents,max_delay,selected_max_delay,policy,eta,mean_boundary,multiplicative_curvature,strong_monotonicity
0.0,16,8,3,joint_aware,0.4363488632302189,4.115057114511728,0.40974685220710355,0.1
0.0,16,8,3,correlation_blind,0.4363488632302189,4.115057114511728,0.40974685220710355,0.1
0.0,16,8,3,delay_blind,0.4373927810905379,4.115057114511728,0.40974685220710355,0.1
0.0,16,8,3,mean_only,4.115057114511728,4.115057114511728,0.40974685220710355,0.1
0.0,16,8,3,worstcase_correlation,0.062108907189348216,4.115057114511728,0.40974685220710355,0.1
0.9,16,8,3,joint_aware,0.06793567174124356,4.115057114511728,2.8953594707694945,0.1
0.9,16,8,3,correlation_blind,0.4363488632302189,4.115057114511728,2.8953594707694945,0.1
0.9,16,8,3,delay_blind,0.0679609250345928,4.115057114511728,2.8953594707694945,0.1
0.9,16,8,3,mean_only,4.115057114511728,4.115057114511728,2.8953594707694945,0.1
0.9,16,8,3,worstcase_correlation,0.062108907189348216,4.115057114511728,2.8953594707694945,0.1
0.0,16,32,12,joint_aware,0.3543562147008278,1.2931845703348515,0.40974685220710355,0.1
0.0,16,32,12,correlation_blind,0.3543562147008278,1.2931845703348515,0.40974685220710355,0.1
0.0,16,32,12,delay_blind,0.4373927810905379,1.2931845703348515,0.40974685220710355,0.1
0.0,16,32,12,mean_only,1.2931845703348515,1.2931845703348515,0.40974685220710355,0.1
0.0,16,32,12,worstcase_correlation,0.06012858486571272,1.2931845703348515,0.40974685220710355,0.1
0.9,16,32,12,joint_aware,0.06557341714513457,1.2931845703348515,2.8953594707694945,0.1
0.9,16,32,12,correlation_blind,0.3543562147008278,1.2931845703348515,2.8953594707694945,0.1
0.9,16,32,12,delay_blind,0.0679609250345928,1.2931845703348515,2.8953594707694945,0.1
0.9,16,32,12,mean_only,1.2931845703348515,1.2931845703348515,2.8953594707694945,0.1
0.9,16,32,12,worstcase_correlation,0.06012858486571272,1.2931845703348515,2.8953594707694945,0.1
0.0,32,8,8,joint_aware,0.48450346515727244,2.1034893587976695,0.31771363513278966,0.1
0.0,32,8,8,correlation_blind,0.48450346515727244,2.1034893587976695,0.31771363513278966,0.1
0.0,32,8,8,delay_blind,0.5476125865680102,2.1034893587976695,0.31771363513278966,0.1
0.0,32,8,8,mean_only,2.1034893587976695,2.1034893587976695,0.31771363513278966,0.1
0.0,32,8,8,worstcase_correlation,0.061225211651951904,2.1034893587976695,0.31771363513278966,0.1
0.9,32,8,8,joint_aware,0.06708632967038644,2.1034893587976695,2.8861531899954205,0.1
0.9,32,8,8,correlation_blind,0.48450346515727244,2.1034893587976695,2.8861531899954205,0.1
0.9,32,8,8,delay_blind,0.0681741968826708,2.1034893587976695,2.8861531899954205,0.1
0.9,32,8,8,mean_only,2.1034893587976695,2.1034893587976695,2.8861531899954205,0.1
0.9,32,8,8,worstcase_correlation,0.061225211651951904,2.1034893587976695,2.8861531899954205,0.1
0.0,32,32,32,joint_aware,0.2890855861645199,0.5345835420861842,0.31771363513278966,0.1
0.0,32,32,32,correlation_blind,0.2890855861645199,0.5345835420861842,0.31771363513278966,0.1
0.0,32,32,32,delay_blind,0.5476125865680102,0.5345835420861842,0.31771363513278966,0.1
0.0,32,32,32,mean_only,0.5345835420861842,0.5345835420861842,0.31771363513278966,0.1
0.0,32,32,32,worstcase_correlation,0.056406811991134544,0.5345835420861842,0.31771363513278966,0.1
0.9,32,32,32,joint_aware,0.061344496040986844,0.5345835420861842,2.8861531899954205,0.1
0.9,32,32,32,correlation_blind,0.2890855861645199,0.5345835420861842,2.8861531899954205,0.1
0.9,32,32,32,delay_blind,0.0681741968826708,0.5345835420861842,2.8861531899954205,0.1
0.9,32,32,32,mean_only,0.5345835420861842,0.5345835420861842,2.8861531899954205,0.1
0.9,32,32,32,worstcase_correlation,0.056406811991134544,0.5345835420861842,2.8861531899954205,0.1
