rho,num_agents,max_delay,joint_eta,largest_safe_grid_eta,joint_to_safe_grid_ratio
0.0,16,8,0.4363488632302189,0.8,0.5454360790377736
0.0,16,32,0.3543562147008278,0.8,0.4429452683760347
0.0,32,8,0.48450346515727244,0.8,0.6056293314465905
0.0,32,32,0.2890855861645199,0.524098988797363,0.551585849894268
0.9,16,8,0.06793567174124356,0.524098988797363,0.1296237413034012
0.9,16,32,0.06557341714513457,0.3433496875730229,0.1909814382201485
0.9,32,8,0.06708632967038644,0.524098988797363,0.12800316563160669
0.9,32,32,0.061344496040986844,0.3433496875730229,0.1786647789738857
