coupling,fixed_q1,fixed_q2,fixed_q4,fixed_q8,lyapunov_probe_commit,fixed_envelope_method,controller_relative_to_envelope
independent,1761.7247628244895,2836.249422077335,3376.031744622116,3865.398962013948,3638.3538928884836,fixed_q8,-0.05873780982420756
shared,1761.7247628244895,2018.4317580912061,1545.0762335956683,1338.8279057595057,1750.6441662002615,fixed_q2,-0.13267111499681639
