coupling,method,budget_fraction,team_return_mean,team_return_std,seeds
independent,fixed_q1,0.0,-139.51450980161636,28.823058690852868,8
independent,fixed_q1,0.05,-113.44121610414516,8.52810266002609,8
independent,fixed_q1,0.1,-101.24046328400908,6.93617993797988,8
independent,fixed_q1,0.15000000000000002,-97.57294873168874,3.870990647619178,8
independent,fixed_q1,0.2,-109.70112295632671,13.400040686181724,8
independent,fixed_q1,0.25,-98.52182618138883,7.168827133476919,8
independent,fixed_q1,0.30000000000000004,-98.72789543015548,5.497739092605802,8
independent,fixed_q1,0.35000000000000003,-95.73357690817976,4.275270834978244,8
independent,fixed_q1,0.4,-95.15842683077527,7.813807590066286,8
independent,fixed_q1,0.45,-94.97284733279032,3.218181258926571,8
independent,fixed_q1,0.5,-91.44227975981833,4.7522929499722935,8
independent,fixed_q1,0.55,-95.64727387238383,4.739298778778702,8
independent,fixed_q1,0.6000000000000001,-95.60334740738823,6.535387055323042,8
independent,fixed_q1,0.65,-95.06254019039238,6.037807932346726,8
independent,fixed_q1,0.7000000000000001,-94.53934255946967,2.3200772551359505,8
independent,fixed_q1,0.75,-91.81030788073836,3.6691269863672167,8
independent,fixed_q1,0.8,-91.69402402838269,3.2791544622745867,8
independent,fixed_q1,0.8500000000000001,-90.10380667601804,4.465990648929825,8
independent,fixed_q1,0.9,-86.1952957672361,5.870939346953029,8
independent,fixed_q1,0.9500000000000001,-88.20215624882202,6.773389612163011,8
independent,fixed_q1,1.0,-88.07225324673335,3.828655016386639,8
independent,fixed_q8,0.0,-98.58925231864782,6.273276798535339,8
independent,fixed_q8,0.05,-98.58925231864782,6.273276798535339,8
independent,fixed_q8,0.1,-94.44535372732477,3.710562255801288,8
independent,fixed_q8,0.15000000000000002,-89.59592377253868,2.4199120670051704,8
independent,fixed_q8,0.2,-84.94068860273268,1.8740164918665094,8
independent,fixed_q8,0.25,-80.8663039334147,3.603943564698489,8
independent,fixed_q8,0.30000000000000004,-79.27192569363922,5.815119124268786,8
independent,fixed_q8,0.35000000000000003,-74.14034590738667,2.3513679818169204,8
independent,fixed_q8,0.4,-72.57317359245859,1.5692450011940162,8
independent,fixed_q8,0.45,-71.30205840332306,2.1370038907791438,8
independent,fixed_q8,0.5,-69.5977485049869,2.4527365086531785,8
independent,fixed_q8,0.55,-67.78706149775905,2.8318946743089435,8
independent,fixed_q8,0.6000000000000001,-65.76985534201424,3.363039118363519,8
independent,fixed_q8,0.65,-64.62149966887476,0.789221131851419,8
independent,fixed_q8,0.7000000000000001,-64.17212085107982,1.2190923422773479,8
independent,fixed_q8,0.75,-64.53412203546588,1.3648794420164856,8
independent,fixed_q8,0.8,-64.45143910564587,1.7570689068504106,8
independent,fixed_q8,0.8500000000000001,-63.204553530010585,2.2303927429982897,8
independent,fixed_q8,0.9,-62.515505209729845,1.5420889242030484,8
independent,fixed_q8,0.9500000000000001,-62.563870547609646,1.0262116157488472,8
independent,fixed_q8,1.0,-62.5735436151856,1.3491091145825678,8
independent,lyapunov_probe_commit,0.0,-98.58925231864782,6.273276798535339,8
independent,lyapunov_probe_commit,0.05,-98.58925231864782,6.273276798535339,8
independent,lyapunov_probe_commit,0.1,-95.24098225685879,4.159792814028342,8
independent,lyapunov_probe_commit,0.15000000000000002,-90.30695882127456,2.392049019007537,8
independent,lyapunov_probe_commit,0.2,-85.66174633483435,2.2928334953211995,8
independent,lyapunov_probe_commit,0.25,-81.11120043104421,3.4291488714843075,8
independent,lyapunov_probe_commit,0.30000000000000004,-79.51682219126874,5.401052598662865,8
independent,lyapunov_probe_commit,0.35000000000000003,-74.92855656255506,2.6609042673006225,8
independent,lyapunov_probe_commit,0.4,-72.67701801313268,1.6467634629514019,8
independent,lyapunov_probe_commit,0.45,-71.55823427795903,1.894316499136432,8
independent,lyapunov_probe_commit,0.5,-69.86793969399403,2.719987679790658,8
independent,lyapunov_probe_commit,0.55,-68.09690436328145,3.119455062404098,8
independent,lyapunov_probe_commit,0.6000000000000001,-66.07969820753664,3.029549211880457,8
independent,lyapunov_probe_commit,0.65,-64.797887100269,0.7944357005536641,8
independent,lyapunov_probe_commit,0.7000000000000001,-64.2143047262479,1.1651045308890737,8
independent,lyapunov_probe_commit,0.75,-64.41332714881767,1.3132152336218212,8
independent,lyapunov_probe_commit,0.8,-64.66438168066908,1.7786493379864379,8
independent,lyapunov_probe_commit,0.8500000000000001,-63.310391352005716,2.4294099169313084,8
independent,lyapunov_probe_commit,0.9,-62.621343031724976,1.545666824602107,8
independent,lyapunov_probe_commit,0.9500000000000001,-62.55644163171131,0.8352273984380008,8
independent,lyapunov_probe_commit,1.0,-62.573543615185606,1.3491091145825682,8
shared,fixed_q1,0.0,-134.72011555526012,17.797044827332602,8
shared,fixed_q1,0.05,-111.67275503817592,7.578272934108334,8
shared,fixed_q1,0.1,-103.26476493494543,6.466595374984043,8
shared,fixed_q1,0.15000000000000002,-100.07340646573827,5.207654296530613,8
shared,fixed_q1,0.2,-102.377204620937,6.398665004564832,8
shared,fixed_q1,0.25,-98.2402728701766,5.647584031632067,8
shared,fixed_q1,0.30000000000000004,-100.236458677201,6.256605656333324,8
shared,fixed_q1,0.35000000000000003,-93.40795077010131,3.483207385170433,8
shared,fixed_q1,0.4,-96.18473728762805,6.189678456564906,8
shared,fixed_q1,0.45,-97.61964232642202,8.870578308240523,8
shared,fixed_q1,0.5,-91.22954846213847,7.894833372582285,8
shared,fixed_q1,0.55,-94.89551642876748,5.999780547476855,8
shared,fixed_q1,0.6000000000000001,-93.84172301365393,5.766103196528104,8
shared,fixed_q1,0.65,-91.12582040544775,4.036520842385173,8
shared,fixed_q1,0.7000000000000001,-93.80244836085927,7.298355364253987,8
shared,fixed_q1,0.75,-93.37800681809894,2.484639523013244,8
shared,fixed_q1,0.8,-92.19821014430066,5.068194057029452,8
shared,fixed_q1,0.8500000000000001,-89.75750983575332,7.420305657005208,8
shared,fixed_q1,0.9,-88.78065022334562,7.272374043207136,8
shared,fixed_q1,0.9500000000000001,-86.2893933703659,4.755490427512392,8
shared,fixed_q1,1.0,-87.34504924086981,4.639714092524046,8
shared,fixed_q8,0.0,-139.2366675783116,24.68489844441462,8
shared,fixed_q8,0.05,-139.2366675783116,24.68489844441462,8
shared,fixed_q8,0.1,-118.5031192578843,8.863388526515353,8
shared,fixed_q8,0.15000000000000002,-106.41346976919989,3.2369344455241342,8
shared,fixed_q8,0.2,-103.86128921042358,4.011934752088196,8
shared,fixed_q8,0.25,-102.02715965103963,6.831808605488576,8
shared,fixed_q8,0.30000000000000004,-101.14956415717545,7.241781294512217,8
shared,fixed_q8,0.35000000000000003,-100.02258391076947,4.245886473550377,8
shared,fixed_q8,0.4,-98.66046097184343,4.979213033994627,8
shared,fixed_q8,0.45,-99.85028122412155,3.998052862524631,8
shared,fixed_q8,0.5,-100.41977971374028,3.4792477030946785,8
shared,fixed_q8,0.55,-98.14968224767497,4.341964121749494,8
shared,fixed_q8,0.6000000000000001,-98.6860469921661,6.169868640791239,8
shared,fixed_q8,0.65,-95.69803740808426,5.733798305845618,8
shared,fixed_q8,0.7000000000000001,-94.11621413603145,5.741352356489376,8
shared,fixed_q8,0.75,-95.98137785666353,4.725026918771805,8
shared,fixed_q8,0.8,-97.1634834839896,3.737619809682068,8
shared,fixed_q8,0.8500000000000001,-94.75323141794543,5.623472592930838,8
shared,fixed_q8,0.9,-94.45365879696689,6.158223675624091,8
shared,fixed_q8,0.9500000000000001,-94.79410815026559,4.728886412064565,8
shared,fixed_q8,1.0,-94.86219802092533,5.235758467113906,8
shared,lyapunov_probe_commit,0.0,-134.72011555526012,17.797044827332606,8
shared,lyapunov_probe_commit,0.05,-118.75290418902418,5.621083272434575,8
shared,lyapunov_probe_commit,0.1,-104.63507796789209,5.044177929871814,8
shared,lyapunov_probe_commit,0.15000000000000002,-101.1942697392985,6.546504916192715,8
shared,lyapunov_probe_commit,0.2,-102.19007404772634,4.959983174655408,8
shared,lyapunov_probe_commit,0.25,-98.40755399497127,4.9026620553799125,8
shared,lyapunov_probe_commit,0.30000000000000004,-100.31474819847426,4.2577131920195805,8
shared,lyapunov_probe_commit,0.35000000000000003,-96.06875907921126,3.275548597260146,8
shared,lyapunov_probe_commit,0.4,-95.82071464618899,4.706617832265879,8
shared,lyapunov_probe_commit,0.45,-98.69249874754924,6.463267457258612,8
shared,lyapunov_probe_commit,0.5,-92.7287151620389,6.41774300207461,8
shared,lyapunov_probe_commit,0.55,-94.4468722460901,5.020186417809164,8
shared,lyapunov_probe_commit,0.6000000000000001,-94.42001294732663,5.367375732486469,8
shared,lyapunov_probe_commit,0.65,-92.07961576011768,2.7219318532202856,8
shared,lyapunov_probe_commit,0.7000000000000001,-92.63443906074455,6.000701813481772,8
shared,lyapunov_probe_commit,0.75,-93.54424843665835,2.03256992289949,8
shared,lyapunov_probe_commit,0.8,-91.9846061285296,5.623653944407772,8
shared,lyapunov_probe_commit,0.8500000000000001,-89.68690995636882,6.037475266123167,8
shared,lyapunov_probe_commit,0.9,-89.15816121698012,5.770434637217014,8
shared,lyapunov_probe_commit,0.9500000000000001,-86.93077044568993,4.222629173912828,8
shared,lyapunov_probe_commit,1.0,-91.02693578144583,3.923184835093692,8
