task_id,ray,coupling,fixed_q1,fixed_q8,oracle_q,oracle_return_auc
mpe_speaker_listener,message_binding,independent,-25.37850941673315,-24.166219529955328,8,-24.166219529955328
mpe_speaker_listener,message_binding,shared,-31.157663793924577,-31.495799923215166,1,-31.157663793924577
mpe_speaker_listener,environment_binding,independent,-25.37850941673315,-22.148934007779804,8,-22.148934007779804
mpe_speaker_listener,environment_binding,shared,-31.157663793924577,-30.580302331183844,8,-30.580302331183844
mamujoco_halfcheetah_2x3,message_binding,independent,1770.592342897282,4027.9132122014157,8,4027.9132122014157
mamujoco_halfcheetah_2x3,message_binding,shared,1770.592342897282,1307.0566157239773,1,1770.592342897282
mamujoco_halfcheetah_2x3,environment_binding,independent,1770.592342897282,4817.663256340396,8,4817.663256340396
mamujoco_halfcheetah_2x3,environment_binding,shared,1770.592342897282,2066.792460056345,8,2066.792460056345
