seed,seed_index,scenario,max_delay,policy,block,selected_num_agents,selected_eta,block_spent,probe_cost,observable_state_proxy,decision_state_proxy,lyapunov_surrogate_before,lyapunov_surrogate_after_probe,lyapunov_surrogate_after_block,true_error_magnitude,estimated_rho_global,estimated_rho_cluster,estimated_rho_idiosyncratic,true_rho_global,true_rho_cluster,num_agents,eta,proxy_risk,lrv_used,predicted_exploitation_updates
20260830,0,independent,4,lyapunov_state_adaptive,0,1,0.0038555270635198514,1996,96,0.38372033080981793,0.2775033735569641,0.09,0.07700812233549596,0.011697334758246353,0.23860474707042917,0.11340594677332946,0.0,0.8865940532266705,0.0,0.0,1.0,0.0038555270635198514,0.011697334758246353,4.1605035113023074,380.0
20260830,0,independent,4,lyapunov_state_adaptive,1,1,0.0025,1996,96,0.01,0.15440981179010438,0.011697334758246353,0.023842389977055456,0.008864268481111267,0.014852825347058568,0.148493415658789,0.0,0.851506584341211,0.0,0.0,1.0,0.0025,0.008864268481111267,4.983655531355187,380.0
20260830,0,independent,4,lyapunov_state_adaptive,2,1,0.0025,1996,96,0.08132366117738571,0.13744057449802183,0.008864268481111267,0.018889911518346285,0.007400547394290673,0.01516072838193237,0.11948100910915035,0.0,0.8805189908908496,0.0,0.0,1.0,0.0025,0.007400547394290673,4.303024473700665,380.0
20260830,0,independent,4,lyapunov_state_adaptive,3,1,0.0025,1996,96,0.3401265754567033,0.12276859973547112,0.007400547394290673,0.015072129081008318,0.006141993513859212,0.004308072938956466,0.09190394158733628,0.0,0.9080960584126637,0.0,0.0,1.0,0.0025,0.006141993513859212,3.6560664696389074,380.0
20260830,0,independent,4,lyapunov_state_adaptive,4,2,0.0025,1998,96,0.014218113800893065,0.10057163936517662,0.006141993513859212,0.010114654644599142,0.004267470875678437,0.008978302035706289,0.04880682055306664,0.08624162893313526,0.8649515505137982,0.0,0.0,2.0,0.0025,0.004267470875678437,2.2083930110151666,317.0
20260830,0,independent,4,lyapunov_state_adaptive,5,2,0.0025,1998,96,0.01,0.09415100426377973,0.004267470875678437,0.00886441160387827,0.003977008046851272,0.005838139880078946,0.05251301209816814,0.0,0.9474869879018318,0.0,0.0,2.0,0.0025,0.003977008046851272,2.1735020764747546,317.0
20260830,0,independent,4,lyapunov_state_adaptive,6,2,0.0025,1998,96,0.08504949768324771,0.08439903986150522,0.003977008046851272,0.007123197929543948,0.0032077813398732826,0.00429965783323537,0.03720677814045632,0.0,0.9627932218595437,0.0,0.0,2.0,0.0025,0.0032077813398732826,1.758586706907309,317.0
20260830,0,independent,4,lyapunov_state_adaptive,7,4,0.0031046445301837096,2000,96,0.03640504218435501,0.0654520028153335,0.0032077813398732826,0.0042839646725384255,0.002008599405230784,0.03905636852040273,0.014387367758614236,0.0,0.9856126322413858,0.0,0.0,4.0,0.0031046445301837096,0.002008599405230784,0.8606466466792687,238.0
20260830,0,independent,4,raw_state_adaptive,0,1,0.0047880164034928676,1996,96,0.38372033080981793,0.38372033080981793,0.09,,,0.23860474707042917,0.11340594677332946,0.0,0.8865940532266705,0.0,0.0,1.0,0.0047880164034928676,0.013560107063018228,4.1605035113023074,380.0
20260830,0,independent,4,raw_state_adaptive,1,32,0.0025,1968,96,0.018789492141673806,0.018789492141673806,0.09,,,0.007652012777530935,0.15302036313577375,0.0,0.8469796368642263,0.0,0.0,32.0,0.0025,0.0020057728107499883,6.007496332773181,52.0
20260830,0,independent,4,raw_state_adaptive,2,32,0.0025,1968,96,0.01,0.01,0.09,,,0.0064313418668509575,0.09215733693663855,0.0,0.9078426630633615,0.0,0.0,32.0,0.0025,0.0011266325049291153,3.636691265359995,52.0
20260830,0,independent,4,raw_state_adaptive,3,1,0.0038555270635198514,1996,96,0.2079915793562957,0.2079915793562957,0.09,,,0.03416160565748004,0.0956928914383202,0.0,0.9043071085616798,0.0,0.0,1.0,0.0038555270635198514,0.0091458286118031,3.7449552331429903,380.0
20260830,0,independent,4,raw_state_adaptive,4,4,0.009170040432046712,2000,96,0.29334941192194874,0.29334941192194874,0.09,,,0.11588816248929049,0.017934641203977846,0.1295308452522809,0.8525345135437412,0.0,0.0,4.0,0.009170040432046712,0.006042602402479147,1.092655547892713,238.0
20260830,0,independent,4,raw_state_adaptive,5,4,0.005946035575013605,2000,96,0.09539246131563092,0.09539246131563092,0.09,,,0.010912375384081548,0.0,0.13509283451702603,0.864907165482974,0.0,0.0,4.0,0.005946035575013605,0.0019138373001966772,0.4920912633053075,238.0
20260830,0,independent,4,raw_state_adaptive,6,8,0.005946035575013605,1992,96,0.057833138675252055,0.057833138675252055,0.09,,,0.02590292080908988,0.0,0.09442646342502924,0.9055735365749707,0.0,0.0,8.0,0.005946035575013605,0.001244408880945695,0.2911746601976235,158.0
20260830,0,independent,4,raw_state_adaptive,7,4,0.0031046445301837096,2000,96,0.05515937272934082,0.05515937272934082,0.09,,,0.00826325353597187,0.0,0.1759126674284116,0.8240873325715884,0.0,0.0,4.0,0.0031046445301837096,0.001325943266054582,0.5274717172027592,238.0
20260830,0,independent,4,correlation_only_adaptive,0,1,0.0047880164034928676,1996,96,0.38372033080981793,0.3,0.09,,,0.23860474707042917,0.11340594677332946,0.0,0.8865940532266705,0.0,0.0,1.0,0.0047880164034928676,0.012068813929724065,4.1605035113023074,380.0
20260830,0,independent,4,correlation_only_adaptive,1,1,0.0038555270635198514,1996,96,0.018789492141673806,0.3,0.09,,,0.007652012777530935,0.15302036313577375,0.0,0.8469796368642263,0.0,0.0,1.0,0.0038555270635198514,0.014086752900399211,5.0898577191652485,380.0
20260830,0,independent,4,correlation_only_adaptive,2,1,0.0047880164034928676,1996,96,0.08126082699015312,0.3,0.09,,,0.015103416041276577,0.12165334975896946,0.0,0.8783466502410305,0.0,0.0,1.0,0.0047880164034928676,0.012521031303646037,4.353987585345421,380.0
20260830,0,independent,4,correlation_only_adaptive,3,1,0.0047880164034928676,1996,96,0.3625517798714645,0.3,0.09,,,0.016146412291150443,0.0956264944164859,0.0,0.9043735055835141,0.0,0.0,1.0,0.0047880164034928676,0.011093940109615863,3.743397559010757,380.0
20260830,0,independent,4,correlation_only_adaptive,4,2,0.005946035575013605,1998,96,0.011832961519366109,0.3,0.09,,,0.006802756109269353,0.052294125778167305,0.08619065871886594,0.8615152155029668,0.0,0.0,2.0,0.005946035575013605,0.008762168881472784,2.3028455112061086,317.0
