seed_index,scenario,max_delay,policy,cell_mse,oracle_cell_mse,normalized_cell_score
0,independent,4,lyapunov_state_adaptive,0.003095158645009827,0.0018367447052492925,1.6851327439050579
0,independent,16,lyapunov_state_adaptive,0.004341280425614308,0.0017187254911322967,2.525871902181582
0,global_08,4,lyapunov_state_adaptive,0.045694323119393726,0.051835536397514106,0.8815250365883183
0,global_08,16,lyapunov_state_adaptive,0.06600732781636473,0.04786177737484491,1.3791240408689192
0,clustered_08,4,lyapunov_state_adaptive,0.003599875277940141,0.002700639033435285,1.3329716535130591
0,clustered_08,16,lyapunov_state_adaptive,0.0039761656545179895,0.0031120285398065573,1.2776764748967073
0,balanced_08,4,lyapunov_state_adaptive,0.03262202427074844,0.009019313792606787,3.6169075631329077
0,balanced_08,16,lyapunov_state_adaptive,0.045054790004257175,0.008808591847945585,5.1148686171405755
1,independent,4,lyapunov_state_adaptive,0.0021594487964545165,0.0013102136562136546,1.6481653860142476
1,independent,16,lyapunov_state_adaptive,0.006496892281174627,0.0013996347658948864,4.641848316064584
1,global_08,4,lyapunov_state_adaptive,0.02868807690544033,0.014010088013540012,2.0476728538546523
1,global_08,16,lyapunov_state_adaptive,0.03491513157053656,0.013851202850866584,2.5207292064423226
1,clustered_08,4,lyapunov_state_adaptive,0.0033203523930907504,0.0016979058733830675,1.955557398759077
1,clustered_08,16,lyapunov_state_adaptive,0.0038682331709979935,0.001561711411193816,2.4769193227838473
1,balanced_08,4,lyapunov_state_adaptive,0.022341073554800788,0.011906140388369823,1.876432901515594
1,balanced_08,16,lyapunov_state_adaptive,0.04275221051472881,0.01269098903648036,3.3687059686078995
2,independent,4,lyapunov_state_adaptive,0.003476953753066362,0.001116245530064598,3.1148646596283776
2,independent,16,lyapunov_state_adaptive,0.0024704872921594684,0.0014399102658168618,1.7157230910899575
2,global_08,4,lyapunov_state_adaptive,0.04180937570835891,0.01908444193674939,2.190757049481752
2,global_08,16,lyapunov_state_adaptive,0.04207636691545683,0.01999093889348668,2.1047719239022777
2,clustered_08,4,lyapunov_state_adaptive,0.0031969756387163887,0.0027539047326458773,1.1608882474466795
2,clustered_08,16,lyapunov_state_adaptive,0.006239111235824104,0.002359121149075924,2.6446760643335274
2,balanced_08,4,lyapunov_state_adaptive,0.03459170803353514,0.01075040297937278,3.2177126848088955
2,balanced_08,16,lyapunov_state_adaptive,0.029060814035519668,0.011273586253538859,2.577779012104269
3,independent,4,lyapunov_state_adaptive,0.0025461684252437986,0.0017556954225757784,1.4502335613020614
3,independent,16,lyapunov_state_adaptive,0.0030508661435551246,0.0020227790036448016,1.5082548009732328
3,global_08,4,lyapunov_state_adaptive,0.018166989031274512,0.009515201069576153,1.9092596045459864
3,global_08,16,lyapunov_state_adaptive,0.017887440724349394,0.010504897959638262,1.7027714874600601
3,clustered_08,4,lyapunov_state_adaptive,0.0025630042463541582,0.0025688235472299302,0.9977346435951012
3,clustered_08,16,lyapunov_state_adaptive,0.004181057510676689,0.0028699674886337014,1.4568309666348014
3,balanced_08,4,lyapunov_state_adaptive,0.00941019839138219,0.0026121435960724396,3.602481274586571
3,balanced_08,16,lyapunov_state_adaptive,0.01089284909792684,0.0024300630792094173,4.482537589711727
4,independent,4,lyapunov_state_adaptive,0.0029980284845688887,0.0011219429032438318,2.672175630240006
4,independent,16,lyapunov_state_adaptive,0.0012045375080653347,0.0018325287693994274,0.6573089209726821
4,global_08,4,lyapunov_state_adaptive,0.05295054572446184,0.04873846469978311,1.0864221113780277
4,global_08,16,lyapunov_state_adaptive,0.06263559390874451,0.04792546876542554,1.3069375328453996
4,clustered_08,4,lyapunov_state_adaptive,0.0063317357011222,0.004288396984891149,1.4764807743849573
4,clustered_08,16,lyapunov_state_adaptive,0.007095793685909457,0.004527176189602726,1.5673774089477477
4,balanced_08,4,lyapunov_state_adaptive,0.028508684812818496,0.02741809032585473,1.0397764568575862
4,balanced_08,16,lyapunov_state_adaptive,0.02836377089333853,0.027399841853509955,1.0351800950159533
5,independent,4,lyapunov_state_adaptive,0.0038073384136630946,0.0012736745743192036,2.9892552543872277
5,independent,16,lyapunov_state_adaptive,0.0018139258795135216,0.0017714562250994675,1.0239744306476832
5,global_08,4,lyapunov_state_adaptive,0.038665919981255195,0.011891037444314556,3.251685999840365
5,global_08,16,lyapunov_state_adaptive,0.04036303224023026,0.012045000605243415,3.3510195277748243
5,clustered_08,4,lyapunov_state_adaptive,0.008723941545646981,0.005932036587606573,1.4706486409529838
5,clustered_08,16,lyapunov_state_adaptive,0.008292045288261721,0.005639789407549741,1.4702756945430482
5,balanced_08,4,lyapunov_state_adaptive,0.03113675867159597,0.007922105392565682,3.930364105079383
5,balanced_08,16,lyapunov_state_adaptive,0.021070278552886866,0.008112975787009747,2.5971085217120904
6,independent,4,lyapunov_state_adaptive,0.0019421422289695959,0.0018942899458577356,1.025261329827833
6,independent,16,lyapunov_state_adaptive,0.0020705062914721274,0.002318711401821673,0.8929555829351831
6,global_08,4,lyapunov_state_adaptive,0.05410120454113028,0.01682478003120296,3.2155668270726316
6,global_08,16,lyapunov_state_adaptive,0.05918388985102907,0.017711284890027088,3.3415921102570305
6,clustered_08,4,lyapunov_state_adaptive,0.0037314084481179567,0.0032501951990530327,1.1480567226254992
6,clustered_08,16,lyapunov_state_adaptive,0.006146545255521838,0.003681976978183483,1.6693600454162152
6,balanced_08,4,lyapunov_state_adaptive,0.015868495631490627,0.009344484145443848,1.6981671095485495
