cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,best_static_graph,best_static_auc,best_static_terminal,dynamic_auc,dynamic_terminal,dynamic_to_static_auc_ratio,dynamic_to_static_terminal_ratio,charged_shadow_auc,checkpoint_safe,selected_actions,action_change_count,environment_used,message_used
Falternating-H0.3-I0.5-N0.5-S0-T0.9-D1,alternating,0.3,0.5,0.5,0.0,0.9,1,"[0,0,3,5]",0.08765916245337237,0.0734532211427125,0.0721214451490324,0.07013990594826211,0.8227485083193126,0.9548921729652545,0.0946485041344698,True,"[[0,0,1,1],[1,1,5,5],[1,4,2,5],[3,5,1,3],[3,4,4,3],[1,1,5,5]]",5,240,18
Falternating-H0.3-I0.5-N0.5-S0-T0.9-D3,alternating,0.3,0.5,0.5,0.0,0.9,3,"[0,0,3,5]",0.08539354957703138,0.07282549103829955,0.0718427510799918,0.06996061703161266,0.8413135586451322,0.960661109649364,0.0946485041344698,True,"[[0,0,1,1],[0,0,5,5],[1,4,2,5],[3,5,1,3],[3,4,4,3],[1,1,5,5]]",5,240,18
Falternating-H0.3-I0.5-N0.5-S0.9-T0-D0,alternating,0.3,0.5,0.5,0.9,0.0,0,"[0,0,0,0]",0.03229124623666891,0.010447037506383854,0.02223012003967682,0.010161921585994518,0.6884255837247001,0.9727084429231625,0.03625070874075378,True,"[[1,1,2,2],[1,1,5,5],[0,6,2,0],[3,5,1,3],[0,2,6,0],[1,1,5,5]]",5,240,18
Falternating-H0.3-I0.5-N0.5-S0.9-T0-D1,alternating,0.3,0.5,0.5,0.9,0.0,1,"[0,0,3,0]",0.0309324548675058,0.01175718023903085,0.022669297097018593,0.010044308200507755,0.7328644685369746,0.8543126835091976,0.03625070874075378,True,"[[0,0,0,0],[0,0,5,5],[1,4,2,5],[3,5,1,3],[3,4,4,3],[1,1,5,5]]",5,240,17
Falternating-H0.3-I0.5-N0.5-S0.9-T0-D3,alternating,0.3,0.5,0.5,0.9,0.0,3,"[0,0,3,0]",0.029438530422419663,0.01103723538767569,0.022283615244845373,0.009835699014346673,0.7569540641157385,0.8911379225751889,0.03625070874075378,True,"[[0,0,0,0],[0,0,5,5],[1,4,2,5],[3,5,1,3],[3,4,4,3],[1,1,5,5]]",5,240,17
Falternating-H0.3-I0.5-N0.5-S0.9-T0.9-D0,alternating,0.3,0.5,0.5,0.9,0.9,0,"[0,0,0,0]",0.09338398962598855,0.07362497514531395,0.07996750128268594,0.07263503177637635,0.8563298869855863,0.9865542451188101,0.0946485041344698,True,"[[1,1,2,2],[1,1,5,5],[0,6,2,0],[3,5,1,3],[0,2,6,0],[1,1,5,5]]",5,240,18
Falternating-H0.3-I0.5-N0.5-S0.9-T0.9-D1,alternating,0.3,0.5,0.5,0.9,0.9,1,"[0,0,3,0]",0.09036392477522315,0.07465383714234788,0.07885035564680398,0.07211927581973157,0.8725866637924511,0.966049148715779,0.0946485041344698,True,"[[0,0,1,1],[1,1,5,5],[1,4,2,5],[3,5,1,3],[3,4,4,3],[1,1,5,5]]",5,240,18
Falternating-H0.3-I0.5-N0.5-S0.9-T0.9-D3,alternating,0.3,0.5,0.5,0.9,0.9,3,"[0,0,3,5]",0.0867690543824996,0.07317269607167587,0.07399607261872974,0.07059180004904062,0.8527933506401559,0.9647287012616407,0.0946485041344698,True,"[[0,0,1,1],[0,0,5,5],[1,4,2,5],[3,5,1,3],[3,4,4,3],[1,1,5,5]]",5,240,18
Falternating-H0.3-I1.5-N0.1-S0-T0-D0,alternating,0.3,1.5,0.1,0.0,0.0,0,"[0,0,3,3]",0.08668828909361333,0.005541689810085499,0.0829382771872426,0.001956505817759735,0.9567414244117664,0.35305220696384465,0.10667664600905474,True,"[[1,1,2,2],[1,1,1,1],[0,6,2,0],[3,5,1,3],[0,2,6,0],[1,1,5,5]]",5,240,18
Falternating-H0.3-I1.5-N0.1-S0-T0-D1,alternating,0.3,1.5,0.1,0.0,0.0,1,"[0,0,0,0]",0.09040761950192223,0.0022837784088213394,0.09210436693599026,0.001953875662551347,1.0187677481545896,0.8555452030741215,0.10667664600905474,True,"[[0,0,0,0],[0,0,1,1],[0,6,2,5],[3,5,1,3],[3,4,4,3],[1,1,5,5]]",5,240,17
Falternating-H0.3-I1.5-N0.1-S0-T0-D3,alternating,0.3,1.5,0.1,0.0,0.0,3,"[0,0,0,0]",0.09040761950192223,0.0022837784088213394,0.09420542001902094,0.0019520504836757198,1.0420075269985176,0.85474601044292,0.10667664600905474,True,"[[0,0,0,0],[0,0,0,0],[0,6,4,0],[0,5,1,0],[3,2,4,3],[1,1,5,5]]",4,240,16
Falternating-H0.3-I1.5-N0.1-S0-T0.9-D0,alternating,0.3,1.5,0.1,0.0,0.9,0,"[0,0,3,3]",0.09766003507259942,0.01790722945350974,0.09329382140748782,0.014021386410890502,0.955291704924478,0.7830014378992821,0.11835620508779793,True,"[[1,1,2,2],[1,1,1,1],[0,6,2,0],[3,5,1,3],[0,2,6,0],[1,1,5,5]]",5,240,18
Falternating-H0.3-I1.5-N0.1-S0-T0.9-D1,alternating,0.3,1.5,0.1,0.0,0.9,1,"[0,0,0,0]",0.10262616817978616,0.014919365936607362,0.10246103324856255,0.01402805191182002,0.9983909081460167,0.9402579152107033,0.11835620508779793,True,"[[0,0,0,0],[0,0,1,1],[1,4,2,5],[3,5,1,3],[3,4,4,3],[1,1,5,5]]",5,240,17
Falternating-H0.3-I1.5-N0.1-S0-T0.9-D3,alternating,0.3,1.5,0.1,0.0,0.9,3,"[0,0,0,0]",0.10262616817978616,0.014919365936607362,0.10469623768310803,0.013998002493233562,1.0201709714007388,0.9382437935171851,0.11835620508779793,True,"[[0,0,0,0],[0,0,0,0],[0,3,2,5],[3,5,1,3],[3,4,4,3],[1,1,5,5]]",4,240,16
Falternating-H0.3-I1.5-N0.1-S0.9-T0-D0,alternating,0.3,1.5,0.1,0.9,0.0,0,"[0,0,3,3]",0.08686952686837712,0.005580944519499786,0.08315030244586909,0.002032398504122381,0.9571860863459827,0.3641674804365449,0.10667664600905474,True,"[[1,1,2,2],[1,1,1,1],[0,6,2,0],[3,5,1,3],[0,2,6,0],[1,1,5,5]]",5,240,18
Falternating-H0.3-I1.5-N0.1-S0.9-T0-D1,alternating,0.3,1.5,0.1,0.9,0.0,1,"[0,0,0,0]",0.09040761950192223,0.0022837784088213394,0.0922560056551857,0.0020089208036797655,1.0204450262427733,0.8796478659751283,0.10667664600905474,True,"[[0,0,0,0],[0,0,1,1],[0,6,2,5],[3,5,1,3],[3,4,4,3],[1,1,5,5]]",5,240,17
