scenario_id,task,ray,budget,budget_index,message_budget,environment_budget,delay,rho,q,mixing_step_multiplier,step_size,updates,burn_in,averaged_count,spectral_radius,bias_risk,noise_risk,risk
frozenlake4x4-message-B2-D0-R0,frozenlake4x4,message,768,2,768,1000000,0,0.0,1,0.25,0.07848464499336505,256,128,128,0.982971717383216,6.426362820553391e-07,0.021689947612715237,0.021690590248997294
frozenlake4x4-message-B2-D0-R0,frozenlake4x4,message,768,2,768,1000000,0,0.0,1,0.5,0.1569692899867301,256,128,128,0.965943434766432,2.1861536787126003e-09,0.02838516533601615,0.028385167522169828
frozenlake4x4-message-B2-D0-R0,frozenlake4x4,message,768,2,768,1000000,0,0.0,1,1.0,0.3139385799734602,256,128,128,0.931886869532864,5.321567512360234e-14,0.03242853617195336,0.032428536172006577
frozenlake4x4-message-B2-D0-R0,frozenlake4x4,message,768,2,768,1000000,0,0.0,4,0.1,0.03139385799734602,128,64,64,0.9931886869532864,8.817874445200626e-05,0.0023650620166374274,0.0024532407610894334
frozenlake4x4-message-B2-D0-R0,frozenlake4x4,message,768,2,768,1000000,0,0.0,4,0.25,0.07848464499336505,128,64,64,0.982971717383216,1.3032374308758508e-05,0.006752795039287383,0.006765827413596141
frozenlake4x4-message-B2-D0-R0,frozenlake4x4,message,768,2,768,1000000,0,0.0,4,0.5,0.1569692899867301,128,64,64,0.965943434766432,6.000153932888284e-07,0.010847736178050316,0.010848336193443605
frozenlake4x4-message-B2-D0-R0,frozenlake4x4,message,768,2,768,1000000,0,0.0,4,1.0,0.3139385799734602,128,64,64,0.931886869532864,1.7384221791633573e-09,0.014169161166400617,0.014169162904822796
frozenlake4x4-message-B2-D0-R0,frozenlake4x4,message,768,2,768,1000000,0,0.0,16,0.1,0.03139385799734602,42,21,21,0.9931886869532864,0.00020994146550291822,0.0002910372268566532,0.0005009786923595714
frozenlake4x4-message-B2-D0-R0,frozenlake4x4,message,768,2,768,1000000,0,0.0,16,0.25,0.07848464499336505,42,21,21,0.982971717383216,0.00010930479408422861,0.0013274561722708903,0.001436760966355119
frozenlake4x4-message-B2-D0-R0,frozenlake4x4,message,768,2,768,1000000,0,0.0,16,0.5,0.1569692899867301,42,21,21,0.965943434766432,3.692029126645867e-05,0.0033270600498227117,0.0033639803410891703
frozenlake4x4-message-B2-D0-R0,frozenlake4x4,message,768,2,768,1000000,0,0.0,16,1.0,0.3139385799734602,42,21,21,0.931886869532864,4.250180630575491e-06,0.00629304012176338,0.006297290302393956
frozenlake4x4-message-B0-D0-R0.1,frozenlake4x4,message,192,0,192,1000000,0,0.1,1,0.1,0.03139385799734602,64,32,32,0.9931886869532864,0.00016793123183951025,0.0064226831978830895,0.006590614429722599
frozenlake4x4-message-B0-D0-R0.1,frozenlake4x4,message,192,0,192,1000000,0,0.1,1,0.25,0.07848464499336505,64,32,32,0.982971717383216,6.290635735010034e-05,0.025374058168831096,0.025436964526181195
frozenlake4x4-message-B0-D0-R0.1,frozenlake4x4,message,192,0,192,1000000,0,0.1,1,0.5,0.1569692899867301,64,32,32,0.965943434766432,1.2463506391502902e-05,0.0538102970102193,0.0538227605166108
frozenlake4x4-message-B0-D0-R0.1,frozenlake4x4,message,192,0,192,1000000,0,0.1,1,1.0,0.3139385799734602,64,32,32,0.931886869532864,5.206474098384679e-07,0.0862584032815364,0.08625892392894624
frozenlake4x4-message-B0-D0-R0.1,frozenlake4x4,message,192,0,192,1000000,0,0.1,4,0.1,0.03139385799734602,32,16,16,0.9931886869532864,0.00023243905165845554,0.0011960155326167718,0.0014284545842752274
frozenlake4x4-message-B0-D0-R0.1,frozenlake4x4,message,192,0,192,1000000,0,0.1,4,0.25,0.07848464499336505,32,16,16,0.982971717383216,0.0001407836635869778,0.0058580885429081655,0.005998872206495144
frozenlake4x4-message-B0-D0-R0.1,frozenlake4x4,message,192,0,192,1000000,0,0.1,4,0.5,0.1569692899867301,32,16,16,0.965943434766432,6.095461162027684e-05,0.016127310547235773,0.01618826515885605
frozenlake4x4-message-B0-D0-R0.1,frozenlake4x4,message,192,0,192,1000000,0,0.1,4,1.0,0.3139385799734602,32,16,16,0.931886869532864,1.1364872015028191e-05,0.034220645996656585,0.034232010868671614
frozenlake4x4-message-B0-D0-R0.1,frozenlake4x4,message,192,0,192,1000000,0,0.1,16,0.1,0.03139385799734602,10,5,5,0.9931886869532864,0.0002909848678439377,0.0001670339063460372,0.0004580187741899749
frozenlake4x4-message-B0-D0-R0.1,frozenlake4x4,message,192,0,192,1000000,0,0.1,16,0.25,0.07848464499336505,10,5,5,0.982971717383216,0.0002467369328737666,0.0009686701555779163,0.0012154070884516828
frozenlake4x4-message-B0-D0-R0.1,frozenlake4x4,message,192,0,192,1000000,0,0.1,16,0.5,0.1569692899867301,10,5,5,0.965943434766432,0.00018689225529543044,0.003426877659020316,0.003613769914315746
frozenlake4x4-message-B0-D0-R0.1,frozenlake4x4,message,192,0,192,1000000,0,0.1,16,1.0,0.3139385799734602,10,5,5,0.931886869532864,0.00010603531058681135,0.010804104227536911,0.010910139538123722
frozenlake4x4-message-B1-D0-R0.1,frozenlake4x4,message,384,1,384,1000000,0,0.1,1,0.1,0.03139385799734602,128,64,64,0.9931886869532864,8.817874445200626e-05,0.00946024806654971,0.009548426811001716
frozenlake4x4-message-B1-D0-R0.1,frozenlake4x4,message,384,1,384,1000000,0,0.1,1,0.25,0.07848464499336505,128,64,64,0.982971717383216,1.3032374308758508e-05,0.027011180157149532,0.02702421253145829
